"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","salary"
2532933,"Brian Quick","WAS","WR",29,6,4,0.440540224280839,0,0.99469347826087,0.465841926243752,155,0.00982626839472511,28,0.99469347826087,NA,127,9.6,8.10132497534181,NA,NA
2530763,"Patrick DiMarco","BUF","RB",29,7,11,0.440350928074246,0,0.885993788819876,0.429995607843608,106,0.0218729698375869,24,0.885993788819876,NA,84.6,2.4,4.18179538403545,NA,NA
2560761,"Richie James","SF","WR",23,0,11,0.439779600570613,0,0.979821276595745,0.608202874415867,156,0.0193863513591082,28,0.979821276595745,NA,NA,NA,NA,NA,NA
2543563,"Kevin Pierre-Louis","NYJ","LB",27,4,11,0.435507544581619,0,0.751174772036474,0.682358043845018,174,0.00676954732510293,47,0.751174772036474,NA,NA,NA,NA,NA,NA
2555156,"Jayron Kearse","MIN","DB",24,2,10,0.435507544581619,0,0.751174772036474,0.682358043845018,221,0.0440020576131688,50,0.751174772036474,NA,NA,NA,NA,NA,NA
2558166,"Tyus Bowser","BAL","LB",23,1,10,0.433251028806584,0,0.747282674772037,0.678822509939086,175,0.0451303155006859,47,0.747282674772037,NA,NA,NA,NA,NA,NA
2557845,"Jaleel Johnson","MIN","DL",24,1,10,0.43099451303155,0,0.743390577507599,0.675286976033153,219,0.0502471400026038,47,0.743390577507599,NA,NA,NA,NA,NA,NA
2561155,"Zaire Franklin","IND","LB",22,0,9,0.424224965706447,0,0.731714285714286,0.664680374315355,176,0.0722085048010974,47,0.731714285714286,NA,NA,NA,NA,NA,NA
2550633,"Senorise Perry","MIA","RB",27,4,11,0.422081786542923,0,1.09316656534954,0.58956851586412,107,0.0119501823285795,24,1.09316656534954,NA,NA,NA,4.89894957182688,NA,NA
2561103,"Tremon Smith","KC","DB",22,0,12,0.421968449931413,0,0.727822188449848,0.661144840409422,222,0.0631824417009602,50,0.727822188449848,NA,NA,NA,NA,NA,NA
2556861,"Jaydon Mickens","JAC","WR",24,2,9,0.421648311201614,-0.114677871148459,0.895003903300451,0.495289340492974,157,0.00527358278349738,28,1.00968177444891,NA,NA,NA,NA,NA,NA
2556710,"Wendall Williams","FA","WR",NA,2,NA,0.419138187221397,0,0.659575581395349,0.579827560572969,158,0.0196952764283156,28,0.659575581395349,NA,NA,NA,NA,NA,NA
2561027,"Tyler Conklin","MIN","TE",NA,0,10,0.419020821283979,0.16,0.628359574468085,0.252160118750516,79,0.0105360158074367,21,0.468359574468085,NA,71.3,1.2,3.42821111277765,NA,NA
2555220,"Derek Watt","LAC","RB",26,2,8,0.414874129930394,0,0.906960248447205,0.535747498628898,108,0.0104743191197378,24,0.906960248447205,NA,91,1.7,3.94559001680085,NA,NA
2561061,"Russell Gage","ATL","WR",22,0,8,0.413611269614836,0,0.875834650455927,0.502119238069337,159,0.0318506652487865,28,0.875834650455927,NA,NA,NA,NA,NA,NA
2557886,"Jeremy Sprinkle","WAS","TE",24,1,4,0.408619697708435,0.23,0.621884782608696,0.268361300603941,80,0.0214349554383931,21,0.391884782608696,NA,77.7,4,5.03245093445092,NA,NA
2558864,"Mason Schreck","CIN","TE",NA,1,9,0.40834991324465,0,0.595146808510638,0.260004934727379,81,0.0477072655784058,21,0.595146808510638,NA,69.5,0.5,3.04796854966416,NA,NA
2532797,"Brandon Bolden","MIA","RB",28,6,11,0.405389078498293,0,1.14259574468085,0.624764582827066,109,0.00749116708115066,24,1.14259574468085,NA,NA,NA,4.99130455291947,NA,NA
2540225,"Tommy Bohanon","JAC","RB",28,5,9,0.40341054312302,0,0.706158054711246,0.380185236316387,110,0.0111512991398071,24,0.706158054711246,NA,82.3,2.2,4.0093145071837,NA,NA
2561092,"Jake Martin","SEA","DL",23,0,7,0.401659807956104,0,0.692793313069909,0.629325035256027,220,0.0530562593597557,48,0.692793313069909,NA,NA,NA,NA,NA,NA
